"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Success login","SUCCESS","2022-10-04T17:08:50.4381575+07:00[Asia/Jakarta]","0.0","0.35"
"Login","Failed Login with null username and valid password","SUCCESS","2022-10-04T17:08:50.8169909+07:00[Asia/Jakarta]","0.0","0.02"
"Login","Failed Login with valid username and null password","SUCCESS","2022-10-04T17:08:50.8518556+07:00[Asia/Jakarta]","0.0","0.02"
"Login","Failed Login with valid username and invalid password","SUCCESS","2022-10-04T17:08:50.8797826+07:00[Asia/Jakarta]","0.0","0.02"
"Login","Failed Login with invalid username and valid password","SUCCESS","2022-10-04T17:08:50.9089061+07:00[Asia/Jakarta]","0.0","0.01"
"Login","Failed Login with invalid username and invalid password","SUCCESS","2022-10-04T17:08:50.9328406+07:00[Asia/Jakarta]","0.0","0.02"
"Job Search","Success search job by title","SUCCESS","2022-10-04T17:08:50.9647557+07:00[Asia/Jakarta]","0.0","0.02"
"Job Search","Success search job by city","SUCCESS","2022-10-04T17:08:50.9946794+07:00[Asia/Jakarta]","0.0","0.02"
"Job Search","Success search job by city and title","SUCCESS","2022-10-04T17:08:51.0206096+07:00[Asia/Jakarta]","0.0","0.01"
"Job Search","Success search job by history","SUCCESS","2022-10-04T17:08:51.0435467+07:00[Asia/Jakarta]","0.0","0.01"
"My network","see account profile that just connected with me","SUCCESS","2022-10-04T17:08:51.0724729+07:00[Asia/Jakarta]","0.0","0.02"
"My network","see account that i ignored","SUCCESS","2022-10-04T17:08:51.1023889+07:00[Asia/Jakarta]","0.0","0.02"
"Search","Success Search a profile","SUCCESS","2022-10-04T17:08:51.1372952+07:00[Asia/Jakarta]","0.0","0.01"
"Search","Success clear history","SUCCESS","2022-10-04T17:08:51.1612311+07:00[Asia/Jakarta]","0.0","0.02"
"Search","Success display list of username that contains to our search","SUCCESS","2022-10-04T17:08:51.1901539+07:00[Asia/Jakarta]","0.0","0.02"
